book_id,title,death_year,extent_bytes,category,matched_keywords
35173,The Bacchae of Euripides,-406,133421,other,
35260,"Rubáiyát of Omar Khayyam, Rendered into English Verse",1122,134921,other,
35451,Medea of Euripides,-406,146311,other,
35738,The Chronicle of the Discovery and Conquest of Guinea. Vol. I,1473,482456,other,
35764,The Chronicle of the Discovery and Conquest of Guinea. Vol. II,1473,802171,other,
35977,"Letters of Abelard and Heloise
To which is prefix'd a particular account of their lives, amours, and misfortunes",1142,292560,other,
36462,King Arthur and the Knights of the Round Table,1471,555153,other,
36539,St. Dionysius of Alexandria: Letters and Treatises,265,213706,other,
36737,The Book of the Duke of True Lovers,1430,195832,other,
36924,"The Letters of Amerigo Vespucci, and Other Documents Illustrative of His Career",1506,331659,other,
37103,Of the Just Shaping of Letters,1528,76010,other,
3726,"The Decameron, Volume I",1375,789037,other,
37696,"Arguments of Celsus, Porphyry, and the Emperor Julian, Against the Christians
Also Extracts from Diodorus Siculus, Josephus, and Tacitus, Relating to the Jews, Together with an Appendix",117,185774,other,
378,The White Knight: Tirant Lo Blanc,1468,904379,other,
3794,L. Annaeus Seneca on Benefits,65,476947,other,
38174,Vidyāpati: Bangīya padābali; songs of the love of Rādhā and Krishna,1448,189462,other,
38326,Bede's Ecclesiastical History of England,735,1094636,other,
38334,"The Homilies of the Anglo-Saxon Church
Containing the Sermones Catholici, or Homilies of Ælfric, in the Original Anglo-Saxon, with an English Version. Volume I.",1019,1293304,other,
38511,The Sufistic Quatrains of Omar Khayyam,1122,545691,other,
38580,True Heart/Mind,606,31720,other,
39038,"One dialogue, or Colloquye of Erasmus (entituled Diuersoria)
Translated oute of Latten into Englyshe: And Imprinted, to the ende that the Judgement of the Learned maye be hadde before the Translator procede in the reste.",1536,43563,other,
39355,Speeches against Catilina,-43,350817,other,
39487,Erasmus Against War,1536,147400,other,
39855,"The Teaching of Epictetus
Being the 'Encheiridion of Epictetus,' with Selections from the 'Dissertations' and 'Fragments'",135,380715,other,
40227,The love letters of Abelard and Heloise,1142,143408,other,
40341,"King Alfred's Old English Version of St. Augustine's Soliloquies
Turned into Modern English",430,114335,other,
41085,The New Life (La Vita Nuova),1321,163601,other,
41537,The Divine Comedy of Dante Alighieri: The Inferno,1321,715585,other,
41935,The Adventures of Ulysses the Wanderer,-650,152276,other,
42083,"Chaucer's Translation of Boethius's ""De Consolatione Philosophiae""",524,1147177,other,
42930,"Plotinos: Complete Works, v. 1
In Chronological Order, Grouped in Four Periods",270,521158,other,
42931,"Plotinos: Complete Works, v. 2
In Chronological Order, Grouped in Four Periods",270,665083,other,
42932,"Plotinos: Complete Works, v. 3
In Chronological Order, Grouped in Four Periods",270,693891,other,
42933,"Plotinos: Complete Works, v. 4
In Chronological Order, Grouped in Four Periods",270,865793,other,
43016,"Chaucer's Works, Volume 5 — Notes to the Canterbury Tales",1400,1539028,other,
43089,"Chaucer's Works, Volume 1 — Romaunt of the Rose; Minor Poems",1400,1529126,other,
43097,"Chaucer's Works, Volume 6 —  Introduction, Glossary, and Indexes",1400,1644250,other,
43274,"The Poet Li Po, A.D. 701-762",762,74258,other,
43319,"The Symbolism of Churches and Church Ornaments
A Translation of the First Book of the Rationale Divinorum Officiorum",1296,672673,other,
43365,"The Buke of the Order of Knyghthood
Translated from the French by Sir Gilbert Hay, Knight",1316,289183,other,
43452,The Master of Game: The Oldest English Book on Hunting,1391,521912,other,
43984,Chaucer for Children: A Golden Key,1400,418015,other,
44024,"The Book of War: The Military Classic of the Far East
The Articles of Suntzu; The Sayings of Wutzu",-381,148716,astro,sun
44292,The Bruce,1395,1169494,other,
44315,"Plutarch's Lives, Volume 4 (of 4)",119,1685272,other,
44318,"The History of Rome, Books 37 to the End
with the Epitomes and Fragments of the Lost Books",16,1729778,other,
44608,The Bābur-nāma in English (Memoirs of Bābur),1530,2786917,other,
44833,"Chaucer's Works, Volume 2 — Boethius and Troilus",1400,1343595,other,
45027,"Chaucer's Works, Volume 3 — The House of Fame; The Legend of Good Women; The Treatise on the Astrolabe; The Sources of the Canterbury Tales",1400,1400311,other,
45109,The Enchiridion,135,91729,other,
45158,The Persian Mystics: Jámí,1492,109000,other,
45159,The Persian Mystics: Jalálu'd-dín Rúmí,1273,126900,other,
45304,"The City of God, Volume I",430,1357489,other,
45305,"The City of God, Volume II",430,1435095,other,
45843,Writings in Connection with the Donatist Controversy,430,1284282,other,
45858,Lucian's True History,180,131540,other,
46058,"Two Tragedies of Seneca: Medea and The Daughters of Troy
Rendered into English Verse",65,161629,other,
46239,"A Modest Meane to Mariage
pleasauntly set foorth by that famous Clarke Erasmus Roterodamus, and translated into Englishe by N.L.",1536,75436,other,
46389,"The Sayings of Confucius
A New Translation of the Greater Part of the Confucian Analects",-479,195650,other,
46853,"Le Morte Darthur
Sir Thomas Malory's Book of King Arthur and his Noble
Knights of the Round Table",1471,2140716,other,
46915,A Treatise on Painting,1519,449020,other,
46976,"The Anabasis of Alexander : $b or, The history of the wars and conquests of Alexander the Great",175,920284,other,
47001,De Officiis,-43,740148,other,
47242,The Works of Lucian of Samosata — Volume 04,180,481660,other,
47297,Parzival: A Knightly Epic (vol. 1 of 2),1219,935082,other,
47298,Parzival: A Knightly Epic (vol. 2 of 2),1219,644378,other,
47676,"The Amores; or, Amours
Literally Translated into English Prose, with Copious Notes",17,331494,other,
47677,"Ars Amatoria; or, The Art Of Love
Literally Translated into English Prose, with Copious Notes",17,239551,other,
47678,"Remedia Amoris; or, The Remedy of Love
Literally Translated into English Prose, with Copious Notes",17,87978,other,
4775,"Theocritus, Bion and Moschus, Rendered into English Prose",-260,325932,other,
47859,Petrarch's Letters to Classical Authors,1374,299576,other,
48664,"The Works of the Emperor Julian, Vol. 1",363,1056245,other,
48768,"The Works of the Emperor Julian, Vol. 2",363,1036193,other,
48776,"Petrarch, the First Modern Scholar and Man of Letters
A Selection from His Correspondence with Boccaccio and Other Friends, Designed to Illustrate the Beginnings of the Renaissance",1374,694917,other,
48870,Early Lives of Charlemagne by Eginhard and the Monk of St Gall edited by Prof. A. J. Grant,840,276081,other,
48895,"The Odysseys of Homer, together with the shorter poems",-650,1024567,other,
49410,"The Works of Garcilasso de la Vega, Surnamed the Prince of Castilian Poets, Translated into English Verse 
With a Critical and Historical Essay on Spanish Poetry and a Life of the Author",1536,561090,other,
49450,"Petrarch's Secret; or, the Soul's Conflict with Passion
Three Dialogues Between Himself and S. Augustine",1374,302890,other,
